2020-07-03 09:15:02.835 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-03 09:15:07.035 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-07-03 09:15:08.156 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-07-03 15:21:39.432 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 20320 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 15:21:39.437 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 15:21:41.578 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 15:21:41.588 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 15:21:41.590 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 15:21:41.590 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 15:21:41.873 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2020-07-03 15:21:41.883 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 15:21:41.883 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2375 ms
2020-07-03 15:21:43.080 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-03 15:21:43.475 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 6af09de6-dc5a-4a0f-9b71-cdaf91869d9d

2020-07-03 15:21:43.561 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@53e800f9, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ff35a3f, org.springframework.security.web.header.HeaderWriterFilter@558756be, org.springframework.security.web.csrf.CsrfFilter@6ede46f6, org.springframework.security.web.authentication.logout.LogoutFilter@7a0e7ecd, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@77bbadc, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@9596ce8, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@337bbfdf, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1422ac7f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@252dc8c4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@26f46fa6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@52d97ab6, org.springframework.security.web.session.SessionManagementFilter@6d1dcdff, org.springframework.security.web.access.ExceptionTranslationFilter@6069dd38, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3ed7821]
2020-07-03 15:21:43.592 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-07-03 15:21:43.654 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-07-03 15:21:43.662 [main] INFO  com.xinlei.MybatisPlusApplication - Started MybatisPlusApplication in 6.66 seconds (JVM running for 9.56)
2020-07-03 15:22:27.389 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
